Date : 2022-12-20 13:34:39
Directory : e:\Class\大四上\web\CareFreeJourney
Total : 171 files,  26869 codes, 503 comments, 3166 blanks, all 30538 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\CClient\src\pages                                                                      |         51 |      5,033 |        176 |        569 |      5,778 |
| packages\CClient\src\pages\404                                                                  |          1 |         16 |          0 |          2 |         18 |
| packages\CClient\src\pages\Article                                                              |          4 |        178 |          0 |         11 |        189 |
| packages\CClient\src\pages\Collect                                                              |          2 |         98 |          0 |          8 |        106 |
| packages\CClient\src\pages\Editor                                                               |          6 |        354 |          9 |         19 |        382 |
| packages\CClient\src\pages\Login                                                                |          5 |        492 |          5 |         17 |        514 |
| packages\CClient\src\pages\People                                                               |         11 |        543 |          1 |         38 |        582 |
| packages\CClient\src\pages\People\Content                                                       |          4 |        259 |          1 |         18 |        278 |
| packages\CClient\src\pages\People\Sidebar                                                       |          3 |         87 |          0 |          7 |         94 |
| packages\CClient\src\pages\Posts                                                                |         10 |        435 |         73 |         29 |        537 |
| packages\CClient\src\pages\Posts\Sidebar                                                        |          3 |        100 |          1 |          5 |        106 |
| packages\CClient\src\pages\Setter                                                               |          6 |        240 |         71 |         23 |        334 |
| packages\CClient\src\pages\Subscr                                                               |          3 |        202 |          0 |         10 |        212 |
| packages\CClient\src\request                                                                    |          1 |        121 |          0 |         15 |        136 |
| packages\CClient\src\store                                                                      |          5 |        782 |         21 |         88 |        891 |
| packages\CClient\src\template                                                                   |          1 |         17 |          0 |          0 |         17 |
| packages\CClient\src\utils                                                                      |          1 |         22 |          0 |          6 |         28 |
| packages\ManageClient                                                                           |         30 |      2,367 |         56 |        180 |      2,603 |
| packages\ManageClient\build                                                                     |          4 |        187 |          3 |         16 |        206 |
| packages\ManageClient\config                                                                    |          1 |         21 |          0 |          2 |         23 |
| packages\ManageClient\dist                                                                      |          1 |         10 |          0 |          1 |         11 |
| packages\ManageClient\src                                                                       |         21 |      2,046 |         53 |        156 |      2,255 |
| packages\ManageClient\src\assets                                                                |          1 |        462 |         17 |         69 |        548 |
| packages\ManageClient\src\assets\css                                                            |          1 |        462 |         17 |         69 |        548 |
| packages\ManageClient\src\components                                                            |         11 |      1,229 |         36 |         57 |      1,322 |
| packages\ManageClient\src\components\Content                                                    |         10 |      1,172 |         10 |         55 |      1,237 |
| packages\ManageClient\src\components\Content\Chart                                              |          3 |        292 |          0 |          8 |        300 |
| packages\ManageClient\src\components\Content\Label                                              |          2 |        387 |          6 |         19 |        412 |
| packages\ManageClient\src\components\Sider                                                      |          1 |         57 |         26 |          2 |         85 |
| packages\ManageClient\src\pages                                                                 |          3 |        171 |          0 |         10 |        181 |
| packages\ManageClient\src\pages\Login                                                           |          2 |        104 |          0 |          6 |        110 |
| packages\ManageClient\src\store                                                                 |          1 |         12 |          0 |          3 |         15 |
| packages\ManageClient\src\template                                                              |          3 |        146 |          0 |         14 |        160 |
| packages\Server                                                                                 |         29 |      3,074 |         74 |        255 |      3,403 |
| packages\Server\config                                                                          |          1 |         13 |          0 |          0 |         13 |
| packages\Server\controller                                                                      |          4 |        972 |         32 |         99 |      1,103 |
| packages\Server\middlewares                                                                     |          4 |         27 |          0 |          3 |         30 |
| packages\Server\models                                                                          |         10 |        566 |         18 |         19 |        603 |
| packages\Server\public                                                                          |          1 |         11 |          0 |          1 |         12 |
| packages\Server\service                                                                         |          3 |      1,353 |          7 |        105 |      1,465 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Class\大四上\web\CareFreeJourney\README.md                                                      | Markdown           |          4 |          0 |          3 |          7 |
| e:\Class\大四上\web\CareFreeJourney\package.json                                                   | JSON               |         15 |          0 |          1 |         16 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\.eslintrc.json                                | JSON with Comments |         25 |          0 |          0 |         25 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\README.md                                     | Markdown           |         82 |          0 |         12 |         94 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\build\dev-server.js                           | JavaScript         |         35 |          0 |          8 |         43 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\build\webpack.base.js                         | JavaScript         |         69 |          0 |          3 |         72 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\build\webpack.dev.js                          | JavaScript         |         34 |          2 |          3 |         39 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\build\webpack.prod.js                         | JavaScript         |         49 |          1 |          2 |         52 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\config\index.js                               | JavaScript         |         27 |          0 |          2 |         29 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\dist\index.html                               | HTML               |         16 |          0 |          3 |         19 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\package.json                                  | JSON               |         69 |          0 |          1 |         70 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\assets\css\app.css                        | CSS                |      2,467 |        130 |        520 |      3,117 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\assets\font\iconfont.svg                  | XML                |         39 |          3 |         45 |         87 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Author\Avatar.js               | JavaScript         |         26 |          0 |          2 |         28 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Author\Follow.js               | JavaScript         |         30 |          0 |          2 |         32 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Author\List.js                 | JavaScript         |         25 |          0 |          2 |         27 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Author\index.js                | JavaScript         |         44 |         15 |          6 |         65 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Collect\Create.js              | JavaScript         |         49 |          0 |          2 |         51 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Collect\List.js                | JavaScript         |         35 |          0 |          3 |         38 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Collect\Switch.js              | JavaScript         |         19 |          0 |          2 |         21 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Collect\Title.js               | JavaScript         |         18 |          0 |          2 |         20 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Collect\index.js               | JavaScript         |        196 |          1 |         19 |        216 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Action.js              | JavaScript         |         32 |          0 |          4 |         36 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Author.js              | JavaScript         |         37 |          0 |          2 |         39 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Header.js              | JavaScript         |         24 |          0 |          2 |         26 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\List.js                | JavaScript         |         37 |          0 |          2 |         39 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Loading.js             | JavaScript         |         11 |          0 |          1 |         12 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Text.js                | JavaScript         |          9 |          0 |          4 |         13 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\Textarea.js            | JavaScript         |         48 |          0 |          4 |         52 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Comment\index.js               | JavaScript         |        218 |          4 |         24 |        246 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Events\index.js                | JavaScript         |        120 |          0 |         11 |        131 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Forward\index.js               | JavaScript         |         54 |          1 |          3 |         58 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\Navigation.js           | JavaScript         |         37 |          0 |          2 |         39 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\Avatar.js          | JavaScript         |         35 |          0 |          3 |         38 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\LoginRegistered.js | JavaScript         |         15 |          0 |          1 |         16 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\Menu.js            | JavaScript         |         49 |          4 |          3 |         56 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\Message.js         | JavaScript         |         59 |          0 |          5 |         64 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\MessageList.js     | JavaScript         |         65 |          0 |          2 |         67 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\User\index.js           | JavaScript         |         25 |          0 |          3 |         28 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\Write.js                | JavaScript         |         36 |          0 |          2 |         38 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Header\index.js                | JavaScript         |         19 |          0 |          2 |         21 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Label\index.js                 | JavaScript         |         68 |          0 |          2 |         70 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\Message.js               | JavaScript         |         55 |          0 |          6 |         61 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\click\Render.js          | JavaScript         |         13 |          0 |          1 |         14 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\click\index.js           | JavaScript         |         30 |          0 |          5 |         35 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\mouseover\Render.js      | JavaScript         |         33 |          0 |          2 |         35 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\mouseover\index.js       | JavaScript         |         31 |          0 |          5 |         36 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\remove\Portal.js         | JavaScript         |         26 |          2 |          6 |         34 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Modal\remove\index.js          | JavaScript         |         56 |          4 |          6 |         66 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\components\Page\index.js                  | JavaScript         |        214 |          9 |         15 |        238 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\index.js                                  | JavaScript         |         14 |          0 |          3 |         17 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\404\index.js                        | JavaScript         |         16 |          0 |          2 |         18 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\App.jsx                             | JavaScript React   |         81 |          1 |          5 |         87 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Article\Header.js                   | JavaScript         |         60 |          0 |          4 |         64 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Article\Html.js                     | JavaScript         |         21 |          0 |          2 |         23 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Article\Type.js                     | JavaScript         |         24 |          0 |          2 |         26 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Article\index.js                    | JavaScript         |         73 |          0 |          3 |         76 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Collect\Sidebar.js                  | JavaScript         |         33 |          0 |          2 |         35 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Collect\index.js                    | JavaScript         |         65 |          0 |          6 |         71 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\Center.js                    | JavaScript         |         38 |          0 |          2 |         40 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\Image.js                     | JavaScript         |         53 |          7 |          2 |         62 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\Label.js                     | JavaScript         |        100 |          0 |          4 |        104 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\Title.js                     | JavaScript         |         33 |          0 |          2 |         35 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\Write.js                     | JavaScript         |         85 |          2 |          6 |         93 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Editor\index.js                     | JavaScript         |         45 |          0 |          3 |         48 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Login\Controller.jsx                | JavaScript React   |        246 |          3 |          8 |        257 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Login\Login.js                      | JavaScript         |         43 |          0 |          2 |         45 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Login\Register.js                   | JavaScript         |         61 |          0 |          2 |         63 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Login\Submit.js                     | JavaScript         |        110 |          2 |          3 |        115 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Login\index.js                      | JavaScript         |         32 |          0 |          2 |         34 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Content\Article.js           | JavaScript         |         60 |          1 |          4 |         65 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Content\Collect.js           | JavaScript         |         68 |          0 |          4 |         72 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Content\Dynamic.js           | JavaScript         |         41 |          0 |          3 |         44 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Content\Follow.js            | JavaScript         |         90 |          0 |          7 |         97 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Header.js                    | JavaScript         |         58 |          0 |          2 |         60 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Links.js                     | JavaScript         |         36 |          0 |          2 |         38 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Router.js                    | JavaScript         |         31 |          0 |          2 |         33 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Sidebar\Achieve.js           | JavaScript         |         29 |          0 |          2 |         31 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Sidebar\Follow.js            | JavaScript         |         29 |          0 |          2 |         31 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\Sidebar\index.js             | JavaScript         |         29 |          0 |          3 |         32 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\People\index.js                     | JavaScript         |         72 |          0 |          7 |         79 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Action.js                     | JavaScript         |         55 |          1 |          2 |         58 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Article.jsx                   | JavaScript React   |         48 |          6 |          4 |         58 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Author.js                     | JavaScript         |         31 |          1 |          2 |         34 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Html.js                       | JavaScript         |         51 |          0 |          3 |         54 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\List.js                       | JavaScript         |         31 |          1 |          2 |         34 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Sidebar\Order.js              | JavaScript         |         32 |          0 |          2 |         34 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Sidebar\Search.js             | JavaScript         |         56 |          0 |          2 |         58 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Sidebar\index.js              | JavaScript         |         12 |          1 |          1 |         14 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\Type.js                       | JavaScript         |         25 |          0 |          2 |         27 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Posts\index.js                      | JavaScript         |         94 |         63 |          9 |        166 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\Account.js                   | JavaScript         |         57 |          0 |          6 |         63 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\AccountView.js               | JavaScript         |         34 |         70 |          2 |        106 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\Links.js                     | JavaScript         |         24 |          1 |          2 |         27 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\Password.js                  | JavaScript         |         36 |          0 |          5 |         41 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\PasswordView.js              | JavaScript         |         58 |          0 |          4 |         62 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Setter\index.js                     | JavaScript         |         31 |          0 |          4 |         35 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Subscr\List.js                      | JavaScript         |         47 |          0 |          2 |         49 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Subscr\Search.js                    | JavaScript         |         49 |          0 |          2 |         51 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\Subscr\index.js                     | JavaScript         |        106 |          0 |          6 |        112 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\animate.css                         | CSS                |      2,375 |         16 |        404 |      2,795 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\router.js                           | JavaScript         |         19 |          0 |          3 |         22 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\request\index.js                          | JavaScript         |        121 |          0 |         15 |        136 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Appstore.js                         | JavaScript         |        320 |          2 |         36 |        358 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Editorstore.js                      | JavaScript         |        176 |         19 |         27 |        222 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Peoplestore.js                      | JavaScript         |        167 |          0 |         14 |        181 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Setterstore.js                      | JavaScript         |        109 |          0 |          9 |        118 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\index.js                            | JavaScript         |         10 |          0 |          2 |         12 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\template\index.html                       | HTML               |         17 |          0 |          0 |         17 |
| e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\utils\index.js                            | JavaScript         |         22 |          0 |          6 |         28 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\.eslintrc.json                           | JSON with Comments |         25 |          0 |          0 |         25 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\README.md                                | Markdown           |         13 |          0 |          4 |         17 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\dev-server.js                      | JavaScript         |         30 |          0 |          9 |         39 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.base.js                    | JavaScript         |         70 |          0 |          2 |         72 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.dev.js                     | JavaScript         |         34 |          2 |          2 |         38 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.prod.js                    | JavaScript         |         53 |          1 |          3 |         57 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\config\index.js                          | JavaScript         |         21 |          0 |          2 |         23 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\dist\index.html                          | HTML               |         10 |          0 |          1 |         11 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\package.json                             | JSON               |         65 |          0 |          1 |         66 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\assets\css\app.css                   | CSS                |        462 |         17 |         69 |        548 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Article.js        | JavaScript         |         61 |          0 |          2 |         63 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Avatar.js         | JavaScript         |         48 |          0 |          2 |         50 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Breadcrumbs.js    | JavaScript         |         28 |          0 |          2 |         30 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\Bar.js      | JavaScript         |         84 |          0 |          2 |         86 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\Line.js     | JavaScript         |         85 |          0 |          2 |         87 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\index.js    | JavaScript         |        123 |          0 |          4 |        127 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Label\Create.js   | JavaScript         |        185 |          0 |          6 |        191 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Label\index.js    | JavaScript         |        202 |          6 |         13 |        221 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Table.js          | JavaScript         |        335 |          4 |         20 |        359 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\index.js          | JavaScript         |         21 |          0 |          2 |         23 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Sider\index.js            | JavaScript         |         57 |         26 |          2 |         85 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\index.js                             | JavaScript         |          8 |          0 |          2 |         10 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\App.js                         | JavaScript         |         67 |          0 |          4 |         71 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\Login\Form.js                  | JavaScript         |         86 |          0 |          4 |         90 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\Login\index.js                 | JavaScript         |         18 |          0 |          2 |         20 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\router.js                            | JavaScript         |         18 |          0 |          1 |         19 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\store\index.js                       | JavaScript         |         12 |          0 |          3 |         15 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\chart.html                  | HTML               |         67 |          0 |          7 |         74 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\chart.js                    | JavaScript         |         69 |          0 |          6 |         75 |
| e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\index.html                  | HTML               |         10 |          0 |          1 |         11 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\.eslintrc.json                                 | JSON with Comments |         18 |          0 |          1 |         19 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\README.md                                      | Markdown           |          9 |          0 |          6 |         15 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\config\index.js                                | JavaScript         |         13 |          0 |          0 |         13 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\controller\admin.js                            | JavaScript         |        249 |         30 |         25 |        304 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\controller\file.js                             | JavaScript         |         97 |          0 |          8 |        105 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\controller\posts.js                            | JavaScript         |        318 |          2 |         31 |        351 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\controller\user.js                             | JavaScript         |        308 |          0 |         35 |        343 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\index.js                                       | JavaScript         |         30 |         17 |         10 |         57 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\middlewares\checkError.js                      | JavaScript         |          8 |          0 |          0 |          8 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\middlewares\checkLogin.js                      | JavaScript         |          7 |          0 |          1 |          8 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\middlewares\checkLoginAdmin.js                 | JavaScript         |          7 |          0 |          1 |          8 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\middlewares\checkPath.js                       | JavaScript         |          5 |          0 |          1 |          6 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\admin.js                                | JavaScript         |         26 |          0 |          1 |         27 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\checkposts.js                           | JavaScript         |         63 |          0 |          2 |         65 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\collect.js                              | JavaScript         |         47 |          0 |          1 |         48 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\comment.js                              | JavaScript         |         52 |          0 |          1 |         53 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\dynamic.js                              | JavaScript         |         39 |          0 |          2 |         41 |
| e:\Class\大四上\web\CareFreeJourney\packages\Server\models\index.js                                | JavaScript         |         75 |         18 |          6 |         99 |
